date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
03-01-2011,2898,2937.4,2860.05,2874.55,2874.55,45430,-0.09446,-29,307
04-01-2011,2899,2899,2826,2836.2,2836.2,24922,-0.12702,-55,433
05-01-2011,2880,2895,2830.25,2880.5,2880.5,71035,-0.06162,-48,779
06-01-2011,2882,2894,2842.5,2849.5,2849.5,14928,-0.09954,-65,653
07-01-2011,2849.55,2867.9,2761.35,2775.75,2775.75,49871,-0.08061,-42,521
10-01-2011,2785.05,2785.05,2648,2677.75,2677.75,44316,-0.20318,-855,4208
11-01-2011,2677.75,2729,2613,2703.35,2703.35,48138,-0.18462,-1001,5422
12-01-2011,2720,2744,2676,2726.3,2726.3,21311,-0.15523,-215,1385
13-01-2011,2739,2764.9,2700.1,2713.75,2713.75,17933,-0.17226,-154,894
14-01-2011,2685.05,2734.5,2684.85,2725.9,2725.9,21548,-0.11915,-107,898
17-01-2011,2695.55,2695.55,2655,2662.85,2662.85,208830,-0.0811,-139,1714
18-01-2011,2690,2690,2636,2654.75,2654.75,262421,-0.05711,-45,788
19-01-2011,2660,2698.5,2656,2668.35,2668.35,17021,-0.03076,-39,1268
20-01-2011,2657,2684.9,2640.2,2674.3,2674.3,92710,-0.00563,-6,1066
21-01-2011,2636,2689,2636,2663.5,2663.5,76956,-0.12397,-120,968
24-01-2011,2663.5,2709.9,2601.15,2620.95,2620.95,150487,-0.1553,-148,953
25-01-2011,2620.95,2643.9,2595,2599.85,2599.85,160118,-0.15088,-86,570
27-01-2011,2595,2664.1,2595,2600.05,2600.05,74971,-0.12575,-63,501
28-01-2011,2646.9,2646.9,2550,2579.1,2579.1,273420,-0.0998,-49,491
31-01-2011,2565,2599,2482.05,2577.5,2577.5,224985,-0.06769,-31,458
01-02-2011,2574.95,2580.05,2445,2487.9,2487.9,173854,-0.07621,-33,433
02-02-2011,2483,2525.05,2445.65,2485.45,2485.45,75125,-0.14141,-56,396
03-02-2011,2450.05,2534,2439.95,2471.6,2471.6,73738,-0.06094,-22,361
04-02-2011,2450.05,2506.9,2450.05,2486.25,2486.25,161739,-0.07808,-26,333
07-02-2011,2487.05,2531,2481,2501.55,2501.55,52616,-0.16832,-68,404
