date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
20-02-2017,1092.95,1109.5,1035,1095.9,1095.9,617565,-0.22951,-1106,4819
21-02-2017,1092.2,1105.95,1085,1095.9,1095.9,335482,-0.17078,-339,1985
22-02-2017,1095,1104.15,1065,1076.25,1076.25,1000632,-0.17774,-214,1204
23-02-2017,1083,1099,1066.5,1068.2,1068.2,1196177,-0.20051,-237,1182
27-02-2017,1070.85,1104,1069,1091.6,1091.6,1223440,-0.17517,-230,1313
28-02-2017,1097.75,1119,1096,1108.2,1108.2,1257475,-0.1718,-184,1071
01-03-2017,1120,1128.9,1070.6,1075.85,1075.85,2045087,-0.18086,-155,857
02-03-2017,1083,1089.6,1019.1,1048.75,1048.75,2587153,-0.12274,-68,554
03-03-2017,1047.5,1056.9,1024.15,1046.25,1046.25,1185751,-0.14027,-62,442
06-03-2017,1054,1056,1026.4,1033.95,1033.95,1176084,-0.18841,-104,552
07-03-2017,1034.9,1055.8,1022.4,1052.4,1052.4,1534634,-0.18739,-107,571
08-03-2017,1057.75,1084,1049,1081.2,1081.2,1763414,-0.18027,-106,588
09-03-2017,1074.7,1095,1068,1087.2,1087.2,1391444,-0.17324,-101,583
10-03-2017,1092.5,1100,1085.1,1094.5,1094.5,748405,-0.14616,-101,691
14-03-2017,1112,1135.45,1103.4,1126.7,1126.7,1254682,-0.21003,-155,738
15-03-2017,1129,1143.2,1124.25,1134.55,1134.55,781510,-0.1504,-94,625
16-03-2017,1139.7,1178,1130.85,1163.5,1163.5,1234503,-0.1217,-60,493
17-03-2017,1170,1183.7,1151.3,1159.3,1159.3,822826,-0.07658,-51,666
20-03-2017,1165,1192.3,1142.75,1172.55,1172.55,978371,-0.15854,-91,574
21-03-2017,1172.05,1184.95,1146,1174.55,1174.55,2284752,-0.21248,-109,513
22-03-2017,1155.1,1167.95,1150,1159.7,1159.7,691551,-0.14833,-62,418
23-03-2017,1161.5,1191.7,1161.5,1185.75,1185.75,873741,-0.14742,-60,407
24-03-2017,1190.4,1198,1170.55,1177.05,1177.05,668010,-0.10468,-38,363
27-03-2017,1177,1189,1171,1185,1185,479265,-0.12771,-53,415
28-03-2017,1194,1206,1186.75,1194.75,1194.75,809959,-0.06479,-30,463
29-03-2017,1199.4,1205,1172,1180.75,1180.75,632607,-0.08134,-34,418
30-03-2017,1180,1190.1,1173,1181.05,1181.05,657966,-0.07075,-30,424
31-03-2017,1188,1188,1167.5,1171.1,1171.1,474585,-0.03901,-19,487
03-04-2017,1170.05,1189,1162,1181.75,1181.75,473642,-0.10121,-50,494
05-04-2017,1190,1190,1165,1173.1,1173.1,680777,-0.03036,-17,560
06-04-2017,1177.8,1204.05,1165.75,1198.1,1198.1,856876,-0.08101,-32,395
07-04-2017,1198,1224,1192.2,1201.6,1201.6,1099961,-0.14552,-39,268
10-04-2017,1201.7,1252,1190,1240.75,1240.75,1046689,-0.18,-63,350
11-04-2017,1246,1274,1242,1255.95,1255.95,1142967,-0.13033,-110,844
12-04-2017,1260,1278,1248,1266.2,1266.2,1062045,-0.16336,-74,453
13-04-2017,1267.8,1292,1261,1273.9,1273.9,613348,-0.15625,-90,576
17-04-2017,1274.9,1282,1246.55,1259.55,1259.55,609476,-0.17128,-68,397
18-04-2017,1254.4,1270.7,1229.9,1236.05,1236.05,583708,-0.16475,-86,522
19-04-2017,1237.8,1252.5,1217.55,1242.95,1242.95,777297,-0.14233,-77,541
20-04-2017,1253,1258.5,1243,1252,1252,443637,-0.12533,-48,383
21-04-2017,1252,1259.9,1236.3,1246.95,1246.95,380126,-0.01379,-4,290
24-04-2017,1251.1,1275,1242.1,1271.75,1271.75,475488,-0.17485,-114,652
25-04-2017,1279,1349,1276,1341.7,1341.7,2092724,-0.0339,-22,649
26-04-2017,1345,1349.9,1301.55,1309.7,1309.7,1207320,-0.0784,-53,676
27-04-2017,1315,1315.85,1278.05,1285.7,1285.7,1627631,-0.06574,-38,578
28-04-2017,1278.05,1295,1268.75,1276.2,1276.2,1183154,-0.03561,-12,337
02-05-2017,1281.9,1286.15,1257,1268.6,1268.6,708574,-0.088,-33,375
03-05-2017,1270,1282.8,1260,1270.1,1270.1,1086778,-0.08287,-30,362
04-05-2017,1271.25,1311.9,1271.25,1296.55,1296.55,1121302,-0.040955631,-12,293
05-05-2017,1295,1303,1264.9,1274.25,1274.25,467205,-0.101167315,-26,257
08-05-2017,1270.25,1286.35,1260.5,1272,1272,471627,-0.015564202,-8,514
09-05-2017,1275,1292.9,1264.5,1286.1,1286.1,567703,-0.161198288,-339,2103
10-05-2017,1295,1331,1293.55,1327,1327,1302185,-0.141074335,-260,1843
11-05-2017,1334.95,1344.9,1318.45,1339.7,1339.7,672768,-0.081889764,-52,635
12-05-2017,1332,1339,1305,1314.75,1314.75,438863,-0.071246819,-28,393
15-05-2017,1323,1348.5,1317.65,1332.95,1332.95,634195,-0.009661836,-4,414
16-05-2017,1337.4,1358.8,1327.2,1347.75,1347.75,788530,-0.048543689,-15,309
17-05-2017,1350,1374,1297.5,1324.8,1324.8,2408302,-0.051829268,-17,328
18-05-2017,1299,1343,1296.05,1314.55,1314.55,1210985,-0.026086957,-9,345
19-05-2017,1324,1333.9,1265.55,1289.15,1289.15,1167010,-0.092696629,-33,356
22-05-2017,1299,1304,1237.35,1242.15,1242.15,873873,-0.024096386,-8,332
23-05-2017,1249.9,1265,1190.55,1233.75,1233.75,1348383,-0.091216216,-27,296
24-05-2017,1234,1254.9,1210,1224.35,1224.35,787101,-0.113846154,-37,325
25-05-2017,1230,1268,1228.25,1258.85,1258.85,905807,-0.108761329,-36,331
26-05-2017,1261.7,1326.7,1261.7,1317.8,1317.8,1306793,-0.052434457,-14,267
29-05-2017,1319.4,1333,1301.9,1307.45,1307.45,652289,-0.090047393,-19,211
30-05-2017,1305.2,1324.9,1303.7,1321.55,1321.55,513005,-0.061371841,-17,277
31-05-2017,1323,1334.9,1316.1,1326.95,1326.95,726284,-0.08,-16,200
01-06-2017,1334,1339,1320.25,1327.35,1327.35,387968,-0.097014925,-26,268
02-06-2017,1332.4,1365,1318,1361.25,1361.25,668081,-0.096069869,-22,229
05-06-2017,1368.55,1372.65,1348.05,1363.1,1363.1,570009,-0.04778157,-14,293
06-06-2017,1363.4,1367.9,1325,1336.65,1336.65,601678,0.00913242,2,219
07-06-2017,1341.1,1360,1335.1,1343.15,1343.15,550988,-0.10483871,-26,248
08-06-2017,1344.9,1372,1344.7,1361.7,1361.7,570819,-0.028469751,-8,281
09-06-2017,1358,1382,1343.7,1376.85,1376.85,530582,-0.043887147,-14,319
12-06-2017,1369.95,1383,1356.55,1364.95,1364.95,370028,-0.085972851,-19,221
13-06-2017,1374,1380,1361,1371.5,1371.5,435644,-0.013392857,-3,224
14-06-2017,1374.2,1375,1354,1361,1361,634727,-0.04954955,-11,222
15-06-2017,1361.1,1413,1352.2,1405.25,1405.25,1569774,-0.097938144,-19,194
16-06-2017,1415,1424.85,1403.3,1410.3,1410.3,824516,-0.08040201,-16,199
19-06-2017,1405.2,1421.7,1395.6,1399.85,1399.85,426223,-0.06875,-11,160
20-06-2017,1407.7,1432.9,1395.05,1409.6,1409.6,781161,-0.157303371,-28,178
21-06-2017,1404.8,1426,1401,1416.65,1416.65,449181,-0.061946903,-14,226
22-06-2017,1419,1427,1395.3,1401.8,1401.8,477586,-0.047904192,-8,167
23-06-2017,1405,1415.5,1366,1400.75,1400.75,620781,-0.043062201,-9,209
27-06-2017,1400,1400,1336.75,1349.95,1349.95,1053829,-0.036036036,-8,222
28-06-2017,1341,1377,1313.9,1372.35,1372.35,998218,-0.162650602,-27,166
29-06-2017,1379,1394.85,1366.5,1376.3,1376.3,726869,-0.080586081,-22,273
30-06-2017,1367.6,1380,1352.5,1373.1,1373.1,496260,-0.026923077,-7,260
03-07-2017,1380,1390,1366.5,1387.15,1387.15,446514,0.059659091,21,352
04-07-2017,1390,1408.75,1376.55,1379.55,1379.55,704342,-0.060465116,-13,215
05-07-2017,1375,1407,1370.1,1398.55,1398.55,643929,-0.076923077,-13,169
06-07-2017,1398.9,1413.5,1392.35,1399.3,1399.3,418130,-0.078125,-25,320
07-07-2017,1398.5,1403.6,1387.4,1391.7,1391.7,202005,-0.031007752,-8,258
10-07-2017,1451.55,1451.55,1395.1,1412.8,1412.8,150018,-0.056603774,-21,371
11-07-2017,1419.4,1431,1409.6,1419.2,1419.2,665556,0.018975332,10,527
12-07-2017,1424.5,1452,1420,1443.7,1443.7,654934,0.004504505,2,444
13-07-2017,1452,1489.5,1450.9,1485.9,1485.9,1011798,-0.028218695,-16,567
14-07-2017,1485,1508.65,1470.65,1499.4,1499.4,570522,0.022516556,17,755
17-07-2017,1504.95,1549.7,1488.05,1538.5,1538.5,947006,-0.033018868,-14,424
18-07-2017,1537.95,1545.15,1507,1512.35,1512.35,501708,-0.040677966,-12,295
19-07-2017,1519.65,1577.4,1515,1541.85,1541.85,2655273,-0.074074074,-18,243
20-07-2017,1551,1608,1547.1,1595.35,1595.35,2169635,-0.040133779,-12,299
21-07-2017,1598.9,1631.5,1585,1621.35,1621.35,1380541,-0.06097561,-15,246
24-07-2017,1633,1637.3,1587.95,1597.4,1597.4,835475,0.03562341,14,393
25-07-2017,1606.9,1632.9,1600,1627.5,1627.5,813854,-0.068493151,-20,292
26-07-2017,1636,1695.75,1630,1687.15,1687.15,1475906,-0.10041841,-24,239
27-07-2017,1704,1739.8,1671.1,1679.35,1679.35,1955562,-0.082125604,-17,207
28-07-2017,1672,1710.9,1662.55,1701.35,1701.35,926268,-0.045045045,-10,222
31-07-2017,1718,1724,1697.6,1703.1,1703.1,576928,-0.032154341,-10,311
01-08-2017,1709.9,1727.9,1706.05,1716.25,1716.25,692591,-0.004926108,-3,609
02-08-2017,1724.95,1726.2,1691.1,1707.2,1707.2,396171,-0.035343035,-34,962
03-08-2017,1714,1729,1698.05,1701.75,1701.75,775709,-0.057692308,-24,416
04-08-2017,1704.9,1730,1701.05,1723.45,1723.45,710636,-0.027088036,-12,443
07-08-2017,1735.5,1805.95,1729.6,1798.15,1798.15,1504033,-0.137624861,-124,901
08-08-2017,1813,1829.5,1772,1779.8,1779.8,1761065,-0.076855895,-88,1145
09-08-2017,1769.9,1769.9,1682.55,1697.7,1697.7,1899560,-0.105527638,-42,398
10-08-2017,1680,1689.9,1610.05,1635.6,1635.6,1835002,-0.002631579,-1,380
11-08-2017,1590,1732.6,1590,1695.4,1695.4,3505576,-0.027491409,-8,291
14-08-2017,1721.3,1742.35,1705,1710.9,1710.9,1311855,0,0,281
16-08-2017,1730,1730,1683.2,1721.35,1721.35,705754,-0.048951049,-14,286
17-08-2017,1730,1762.5,1720.5,1728.75,1728.75,729269,-0.124,-31,250
18-08-2017,1710,1722.9,1688.5,1704.95,1704.95,932335,-0.097222222,-21,216
21-08-2017,1704.95,1731,1678.55,1690.6,1690.6,1090057,-0.09009009,-20,222
22-08-2017,1708,1713.6,1662.55,1682.9,1682.9,654334,-0.086486486,-16,185
23-08-2017,1695.9,1784.7,1695.9,1779.3,1779.3,1825088,-0.050980392,-13,255
24-08-2017,1791.4,1797.7,1752.8,1760.1,1760.1,1324532,-0.036423841,-11,302
28-08-2017,1773.5,1837.4,1767,1829.95,1829.95,1347345,-0.066350711,-14,211
29-08-2017,1835,1835,1762,1773.4,1773.4,1482257,-0.051282051,-8,156
30-08-2017,1798,1819.4,1777.05,1788.05,1788.05,1064601,-0.085427136,-17,199
31-08-2017,1797.4,1805.7,1770,1781.9,1781.9,1116765,-0.058823529,-11,187
01-09-2017,1790,1807,1790,1799.95,1799.95,489396,-0.023041475,-5,217
04-09-2017,1797.95,1820,1775.55,1801.35,1801.35,658965,-0.082236842,-25,304
05-09-2017,1809.85,1815.3,1784.55,1794.4,1794.4,741229,-0.004405286,-1,227
06-09-2017,1782,1883,1777.7,1858.95,1858.95,2742892,-0.05106383,-12,235
07-09-2017,1880,1985.9,1871.15,1963.2,1963.2,4271734,-0.012820513,-4,312
08-09-2017,1970,1974.95,1881,1891.2,1891.2,2856329,0.007113821,7,984
11-09-2017,1900,1935.45,1898.05,1920.45,1920.45,1098804,0.036697248,16,436
12-09-2017,1935,1935,1886.6,1894.4,1894.4,1473997,0.034285714,12,350
13-09-2017,1895,1924.7,1895,1907.15,1907.15,810810,-0.031690141,-9,284
14-09-2017,1913,1935.5,1901,1909.9,1909.9,951870,-0.034482759,-10,290
15-09-2017,1895.6,1912.1,1881.4,1902.75,1902.75,922149,-0.053763441,-15,279
18-09-2017,1916,1929.25,1906.6,1911.65,1911.65,430947,0.009852217,4,406
19-09-2017,1924.1,1928.7,1904.05,1911.8,1911.8,598020,-0.017910448,-6,335
20-09-2017,1918.8,1918.85,1900,1904.9,1904.9,377551,0.017191977,6,349
21-09-2017,1908,1926,1871.55,1919.5,1919.5,754880,0.015364917,12,781
22-09-2017,1910,1910,1847,1863.15,1863.15,1772943,0.007425743,6,808
25-09-2017,1859.95,1859.95,1759,1796,1796,1826884,-0.049261084,-20,406
26-09-2017,1796,1862.8,1780.95,1840.1,1840.1,1044947,0.066753927,51,764
27-09-2017,1859,1859,1795.25,1806.75,1806.75,764148,-0.024604569,-14,569
28-09-2017,1817,1855,1791,1842.85,1842.85,3925555,-0.113157895,-43,380
29-09-2017,1857.95,1875,1830.35,1838.05,1838.05,1216964,-0.047058824,-20,425
03-10-2017,1860,1873.5,1831.7,1867.8,1867.8,975293,-0.061007958,-23,377
04-10-2017,1879.95,1879.95,1852,1862.65,1862.65,538069,-0.106666667,-32,300
05-10-2017,1865,1885.5,1855.4,1866.2,1866.2,398463,-0.006734007,-2,297
06-10-2017,1880,1934.55,1868.4,1923.6,1923.6,1227615,-0.019379845,-5,258
09-10-2017,1928,1954,1916,1941.3,1941.3,999574,-0.027874564,-8,287
10-10-2017,1944,1959.4,1943,1950.8,1950.8,517117,-0.065714286,-23,350
11-10-2017,1967,1967,1901.95,1923.55,1923.55,726978,-0.062015504,-16,258
12-10-2017,1940,1957.75,1923,1953.15,1953.15,1019350,0.040983607,20,488
13-10-2017,1955.1,1973.7,1948.45,1953.05,1953.05,849832,0.043373494,18,415
16-10-2017,1966,1967,1875.35,1886.3,1886.3,2652753,-0.032921811,-8,243
17-10-2017,1880.25,1902,1856.4,1867.1,1867.1,1782421,0.014005602,5,357
18-10-2017,1870,1884,1848.65,1868.5,1868.5,710046,-0.04,-17,425
19-10-2017,1872.8,1872.8,1832,1845.9,1845.9,169845,-0.007915567,-6,758
23-10-2017,1845,1856.9,1812.2,1833.75,1833.75,1011137,0.019635344,14,713
24-10-2017,1848,1848,1816,1826.05,1826.05,929872,-0.053278689,-26,488
25-10-2017,1820,1820,1713.55,1726.35,1726.35,2865279,-0.079457364,-41,516
26-10-2017,1739,1766,1700.1,1746.75,1746.75,1641262,0.015763547,16,1015
27-10-2017,1760.05,1828.65,1752.45,1819,1819,1656079,-0.046232877,-27,584
30-10-2017,1832,1836.25,1797.8,1804.3,1804.3,563901,-0.016260163,-8,492
