date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
04-01-2010,2610,2630,2595.3,2612.6,2612.6,508658,-0.040955631,-12,293
05-01-2010,2620,2630.7,2600.1,2621.35,2621.35,861941,-0.101167315,-26,257
06-01-2010,2683,2683,2575.1,2583.1,2583.1,852161,-0.015564202,-8,514
07-01-2010,2586.6,2586.6,2518.2,2525.05,2525.05,1361575,-0.161198288,-339,2103
08-01-2010,2519,2523.3,2458,2464.2,2464.2,1581164,-0.141074335,-260,1843
11-01-2010,2475.1,2504.7,2474,2489.65,2489.65,981207,-0.081889764,-52,635
12-01-2010,2500,2594,2500,2586.95,2586.95,3107460,-0.071246819,-28,393
13-01-2010,2476.85,2695,2476.85,2683.5,2683.5,2463005,-0.009661836,-4,414
14-01-2010,2679,2702.9,2650.2,2689.75,2689.75,1051738,-0.048543689,-15,309
15-01-2010,2689.75,2692.5,2654.15,2675.8,2675.8,631188,-0.051829268,-17,328
18-01-2010,2663,2690,2656,2686.65,2686.65,767511,-0.026086957,-9,345
19-01-2010,2680,2688,2628.1,2635.9,2635.9,729689,-0.092696629,-33,356
20-01-2010,2648.65,2673.2,2638,2657.7,2657.7,761499,-0.024096386,-8,332
21-01-2010,2643,2664.7,2600,2625.2,2625.2,835349,-0.091216216,-27,296
22-01-2010,2600,2610,2552,2575.6,2575.6,1685812,-0.113846154,-37,325
25-01-2010,2550,2569.95,2518,2542.3,2542.3,812339,-0.108761329,-36,331
27-01-2010,2532,2533.85,2485.15,2502.25,2502.25,1230107,-0.052434457,-14,267
28-01-2010,2513,2554.9,2479.5,2491.75,2491.75,1591609,-0.090047393,-19,211
29-01-2010,2452.4,2500,2404.8,2475.5,2475.5,1876535,-0.061371841,-17,277
01-02-2010,2447,2530,2390.1,2451.25,2451.25,1538598,-0.08,-16,200
02-02-2010,2501,2501,2421.65,2439.95,2439.95,1236173,-0.097014925,-26,268
03-02-2010,2450,2500,2450,2473.2,2473.2,800701,-0.096069869,-22,229
04-02-2010,2465,2470,2412.5,2429.05,2429.05,772051,-0.04778157,-14,293
05-02-2010,2390.4,2398.45,2329,2352.7,2352.7,1693109,0.00913242,2,219
06-02-2010,2361,2388.55,2358.9,2379.45,2379.45,59915,-0.10483871,-26,248
08-02-2010,2374.9,2442,2344.5,2403.6,2403.6,1156560,-0.028469751,-8,281
09-02-2010,2404,2482,2394.25,2473.8,2473.8,1298424,-0.043887147,-14,319
10-02-2010,2491,2496.2,2448,2466.95,2466.95,898498,-0.085972851,-19,221
11-02-2010,2473,2518.15,2470,2498.45,2498.45,806736,-0.013392857,-3,224
15-02-2010,2507,2542.4,2474.85,2498.65,2498.65,1118766,-0.04954955,-11,222
16-02-2010,2500,2551,2488.25,2541.45,2541.45,552262,-0.097938144,-19,194
17-02-2010,2550.2,2566.4,2513.6,2518.65,2518.65,998898,-0.08040201,-16,199
18-02-2010,2523,2547,2512,2533.65,2533.65,465212,-0.06875,-11,160
19-02-2010,2524.9,2544.5,2505.15,2532.4,2532.4,749874,-0.157303371,-28,178
22-02-2010,2555.1,2591.7,2555.1,2568.35,2568.35,731925,-0.061946903,-14,226
23-02-2010,2558.1,2589,2555,2581.3,2581.3,473254,-0.047904192,-8,167
24-02-2010,2568,2598.3,2551,2576.3,2576.3,678377,-0.043062201,-9,209
25-02-2010,2570.6,2629.7,2570.6,2617.35,2617.35,1091196,-0.036036036,-8,222
26-02-2010,2619,2630,2582.1,2601.95,2601.95,1318296,-0.162650602,-27,166
02-03-2010,2631.55,2650.75,2622.65,2641,2641,1066832,-0.080586081,-22,273
03-03-2010,2651.1,2676.5,2632.65,2666.25,2666.25,738122,-0.026923077,-7,260
04-03-2010,2662,2664,2604,2623.8,2623.8,844405,0.059659091,21,352
05-03-2010,2633.9,2640,2613.05,2635.7,2635.7,623101,-0.060465116,-13,215
08-03-2010,2653,2679.35,2638.1,2659.55,2659.55,1083124,-0.076923077,-13,169
09-03-2010,2650.05,2701.5,2617.85,2683.95,2683.95,994844,-0.078125,-25,320
10-03-2010,2674.9,2691.45,2650,2659.25,2659.25,916369,-0.031007752,-8,258
11-03-2010,2665,2695,2650,2682.95,2682.95,537303,-0.056603774,-21,371
12-03-2010,2699.9,2704,2656.3,2673.25,2673.25,397115,0.018975332,10,527
15-03-2010,2654.4,2712.5,2636,2701.25,2701.25,1322857,0.004504505,2,444
16-03-2010,2700,2744.95,2682.3,2732.35,2732.35,735168,-0.028218695,-16,567
17-03-2010,2735,2753.7,2713,2738.3,2738.3,794000,0.022516556,17,755
18-03-2010,2740,2793.9,2740,2787.6,2787.6,1115381,-0.033018868,-14,424
19-03-2010,2780.1,2795,2760.05,2772.35,2772.35,1572818,-0.040677966,-12,295
22-03-2010,2752.1,2777,2742.9,2757.4,2757.4,513566,-0.074074074,-18,243
23-03-2010,2770.05,2799,2764.15,2775.5,2775.5,599070,-0.040133779,-12,299
25-03-2010,2771,2870,2750.85,2813.95,2813.95,1900941,-0.06097561,-15,246
26-03-2010,2816,2825,2763,2774.85,2774.85,1138210,0.03562341,14,393
29-03-2010,2758,2770,2700.25,2716.65,2716.65,1747713,-0.068493151,-20,292
30-03-2010,2715,2715,2630.6,2644.1,2644.1,1331242,-0.10041841,-24,239
