date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
29-04-2010,1024,1039.9,1019.15,1035.05,1035.05,5359600,-0.18,-63,350
30-04-2010,1040,1047.2,1030,1033.6,1033.6,3616419,-0.130331754,-110,844
03-05-2010,1026,1032.6,1018.1,1023.75,1023.75,2865346,-0.163355408,-74,453
04-05-2010,1024.2,1039,1013.5,1021.15,1021.15,3965640,-0.15625,-90,576
05-05-2010,1010,1023.55,1003.3,1020.65,1020.65,3423392,-0.171284635,-68,397
06-05-2010,1019.8,1023.3,1004,1007.85,1007.85,5454783,-0.164750958,-86,522
07-05-2010,976,1060,976,1032.8,1032.8,16472546,-0.14232902,-77,541
10-05-2010,1051,1082,1040,1079.4,1079.4,8697783,-0.125326371,-48,383
11-05-2010,1089,1089,1063.35,1067.8,1067.8,6017564,-0.013793103,-4,290
12-05-2010,1076.05,1089.45,1064.05,1082.95,1082.95,3496020,-0.174846626,-114,652
13-05-2010,1062,1093.4,1062,1071.8,1071.8,2731043,-0.033898305,-22,649
14-05-2010,1067.7,1071,1035,1043.65,1043.65,4151458,-0.078402367,-53,676
17-05-2010,1034.7,1034.7,1009,1016.55,1016.55,4711513,-0.065743945,-38,578
18-05-2010,1020,1033.45,1007.8,1020.6,1020.6,3530511,-0.035608309,-12,337
19-05-2010,1017,1017.75,995.1,998.65,998.65,5965445,-0.088,-33,375
20-05-2010,1001,1013,993.75,999.95,999.95,4246454,-0.082872928,-30,362
21-05-2010,989.9,999.85,976.1,995.55,995.55,4381347,-0.066666667,-28,420
24-05-2010,1018,1048.95,1016.45,1022.65,1022.65,5652017,-0.06231454,-21,337
25-05-2010,1025,1025,982.75,985.65,985.65,5770796,-0.058823529,-25,425
26-05-2010,994.9,1010,991,1008.05,1008.05,3137663,-0.014869888,-8,538
27-05-2010,1011,1027.7,1001.6,1022.25,1022.25,6264345,-0.055427252,-24,433
28-05-2010,1029.95,1039,1014.5,1036.65,1036.65,4008272,-0.043010753,-12,279
31-05-2010,1030.15,1048.5,1028.75,1045.6,1045.6,3782780,-0.035928144,-12,334
01-06-2010,1043.3,1045,1004.1,1010.55,1010.55,4449630,-0.026058632,-8,307
02-06-2010,1015,1021,1003.35,1011.05,1011.05,4509546,-0.088803089,-23,259
03-06-2010,1019.9,1038,1019.9,1030.8,1030.8,3910363,-0.073800738,-20,271
04-06-2010,1031,1036,1022.45,1031.2,1031.2,3220285,-0.042168675,-14,332
07-06-2010,1015,1015,1000,1007.75,1007.75,3086645,0.014256619,7,491
08-06-2010,1009.7,1012.7,995.1,996.4,996.4,3480569,-0.009584665,-3,313
09-06-2010,1000.2,1015,1000,1007.05,1007.05,3484176,-0.115168539,-41,356
10-06-2010,1010,1017.45,1007.15,1015.35,1015.35,3191686,-0.073015873,-23,315
11-06-2010,1025,1050.85,1021,1046.4,1046.4,5327604,-0.013937282,-4,287
14-06-2010,1054.9,1070,1049.1,1063.5,1063.5,3632863,0.003597122,1,278
15-06-2010,1065.2,1069.9,1050.1,1066.1,1066.1,4341443,-0.092307692,-36,390
16-06-2010,1070,1072.65,1055.1,1057.95,1057.95,2704841,-0.045070423,-16,355
17-06-2010,1063.3,1077,1058.3,1071.4,1071.4,4811174,-0.050938338,-19,373
18-06-2010,1080.2,1089.8,1050.55,1054.35,1054.35,8749692,-0.09486166,-24,253
21-06-2010,1061,1071.7,1061,1065.65,1065.65,2695660,-0.080701754,-23,285
22-06-2010,1063,1074.8,1056.95,1063.8,1063.8,2950749,-0.031690141,-9,284
23-06-2010,1059.7,1067.5,1054,1058.7,1058.7,2665095,-0.174840085,-82,469
24-06-2010,1059,1065.8,1047.3,1052.05,1052.05,4298567,-0.136253041,-56,411
25-06-2010,1050,1068,1043,1062.95,1062.95,4646050,-0.043589744,-17,390
28-06-2010,1074,1092,1065.15,1090.15,1090.15,7194118,-0.025735294,-7,272
29-06-2010,1091,1091,1064.2,1067.45,1067.45,3249076,-0.079439252,-17,214
30-06-2010,1060,1093.95,1057.5,1089.85,1089.85,6088910,-0.058823529,-16,272
01-07-2010,1084,1086.35,1066.5,1076.25,1076.25,3042649,-0.051643192,-11,213
02-07-2010,1076,1083.95,1065.3,1068.95,1068.95,2502708,-0.004201681,-1,238
05-07-2010,1070,1073.15,1062.7,1068.3,1068.3,1462821,-0.011235955,-6,534
06-07-2010,1065.5,1081.9,1065.5,1073.9,1073.9,2115540,-0.063241107,-16,253
07-07-2010,1074,1074.8,1051,1053.55,1053.55,3140408,-0.061643836,-18,292
08-07-2010,1060,1069.55,1055.25,1057.1,1057.1,2737949,-0.109170306,-25,229
09-07-2010,1063.95,1066,1053.55,1057.65,1057.65,2965846,-0.042328042,-16,378
12-07-2010,1060,1067.95,1052.05,1056.25,1056.25,2871831,-0.089494163,-23,257
13-07-2010,1057.25,1077.75,1057.25,1074.3,1074.3,3438642,-0.002659574,-1,376
14-07-2010,1080,1094.45,1067.25,1070.45,1070.45,3650519,-0.038348083,-13,339
15-07-2010,1071.95,1080.9,1068.1,1073.45,1073.45,3172106,-0.052173913,-18,345
16-07-2010,1071.05,1074,1060,1062.95,1062.95,2006855,-0.002985075,-1,335
19-07-2010,1058.1,1065.9,1053.8,1056.05,1056.05,2242066,-0.04743083,-12,253
20-07-2010,1057,1065.9,1049.1,1052.95,1052.95,1564673,-0.015296367,-8,523
21-07-2010,1058.9,1063,1055.65,1058.4,1058.4,2245764,0.01758794,7,398
22-07-2010,1058.4,1060.85,1047.6,1059,1059,3629863,-0.043103448,-15,348
23-07-2010,1063.95,1070.9,1056.8,1060.45,1060.45,3152167,-0.093567251,-32,342
26-07-2010,1063.5,1067.4,1050.25,1053.1,1053.1,2083245,-0.054421769,-16,294
27-07-2010,1058.85,1061.15,1051.1,1053.5,1053.5,2773497,-0.040955631,-12,293
28-07-2010,1063,1073.65,1018,1021.25,1021.25,12098248,-0.101167315,-26,257
29-07-2010,1028.5,1028.5,1008,1010.15,1010.15,10579193,-0.015564202,-8,514
30-07-2010,1014.95,1020.35,1007.25,1009.65,1009.65,4398414,-0.161198288,-339,2103
02-08-2010,1016,1021.8,1011.4,1014.55,1014.55,2897730,-0.141074335,-260,1843
03-08-2010,1019.15,1030.9,1014,1027.75,1027.75,4595476,-0.081889764,-52,635
04-08-2010,1028,1031,1012.55,1016.05,1016.05,4187240,-0.071246819,-28,393
05-08-2010,1019.95,1023.7,1005.05,1007.05,1007.05,4184906,-0.009661836,-4,414
06-08-2010,1008.9,1010.1,998.5,1000.1,1000.1,4561587,-0.048543689,-15,309
09-08-2010,1000,1006,992,993.6,993.6,5086803,-0.051829268,-17,328
10-08-2010,991,1002.4,986.3,987.9,987.9,4569314,-0.026086957,-9,345
11-08-2010,989.8,994.9,980.1,983.25,983.25,5009919,-0.092696629,-33,356
12-08-2010,980,983.25,970,972.6,972.6,5694088,-0.024096386,-8,332
13-08-2010,970.5,993.8,970.5,979.1,979.1,6974575,-0.091216216,-27,296
16-08-2010,980,991.9,975,976.9,976.9,3206742,-0.113846154,-37,325
17-08-2010,980,984.95,970,970.65,970.65,3380458,-0.108761329,-36,331
18-08-2010,973,977,958.35,964.6,964.6,5682424,-0.052434457,-14,267
19-08-2010,963.7,984.9,963.7,977.2,977.2,4723202,-0.090047393,-19,211
20-08-2010,977.2,993.4,972.5,988.65,988.65,4799377,-0.061371841,-17,277
23-08-2010,992.05,992.05,975.6,976.9,976.9,3095800,-0.08,-16,200
24-08-2010,976.9,981,967.3,972.4,972.4,4406206,-0.097014925,-26,268
25-08-2010,970,977.85,965.5,967.8,967.8,4256327,-0.096069869,-22,229
26-08-2010,970,973,955.05,956.45,956.45,6362576,-0.04778157,-14,293
27-08-2010,958.9,960.9,946.55,949.6,949.6,5558199,0.00913242,2,219
30-08-2010,952.1,964.8,945,947.95,947.95,2722106,-0.10483871,-26,248
31-08-2010,944.65,949.95,915,919.2,919.2,10653128,-0.028469751,-8,281
01-09-2010,925.05,943.8,921,936.2,936.2,6374456,-0.043887147,-14,319
02-09-2010,945,946.65,936,937.45,937.45,4045759,-0.085972851,-19,221
03-09-2010,940,941.6,924.2,925.7,925.7,3300811,-0.013392857,-3,224
06-09-2010,930.95,957.7,922.3,952.65,952.65,7755451,-0.04954955,-11,222
07-09-2010,955,969.7,953,962.3,962.3,6487124,-0.097938144,-19,194
08-09-2010,955.1,964.7,952,959.6,959.6,2659076,-0.08040201,-16,199
09-09-2010,962.95,967.2,955.2,958.55,958.55,2311961,-0.06875,-11,160
13-09-2010,972,995.5,965.35,992.5,992.5,6280165,-0.157303371,-28,178
14-09-2010,995.5,1003,984.35,988.15,988.15,4451190,-0.061946903,-14,226
15-09-2010,989,1018.7,989,1013.9,1013.9,7670039,-0.047904192,-8,167
16-09-2010,1012.1,1015.35,997.2,1000.35,1000.35,4238156,-0.043062201,-9,209
17-09-2010,1005,1031.4,1005,1027.35,1027.35,7304408,-0.036036036,-8,222
20-09-2010,1029,1043.95,1021.1,1041.4,1041.4,6953447,-0.162650602,-27,166
21-09-2010,1042,1048.5,1025.05,1035.15,1035.15,4880691,-0.080586081,-22,273
22-09-2010,1034,1043.7,1015,1020.05,1020.05,5914047,-0.026923077,-7,260
23-09-2010,1020.05,1024,996,997.65,997.65,5264383,0.059659091,21,352
24-09-2010,1000,1009,992.1,1001.65,1001.65,5181769,-0.060465116,-13,215
27-09-2010,1008,1019.9,1005.1,1010.2,1010.2,3763708,-0.076923077,-13,169
28-09-2010,1008.3,1012,993,998.5,998.5,4499090,-0.078125,-25,320
29-09-2010,1000,1009,995,999,999,4066504,-0.031007752,-8,258
30-09-2010,1002,1002,978.1,987.25,987.25,6624729,-0.056603774,-21,371
01-10-2010,992,1010,990,1007.9,1007.9,4366861,0.018975332,10,527
04-10-2010,1014.95,1025.8,1014.95,1017.85,1017.85,4837519,0.004504505,2,444
05-10-2010,1016,1031.8,1009,1023.85,1023.85,5243466,-0.028218695,-16,567
06-10-2010,1030,1047,1026.95,1044.95,1044.95,6431802,0.022516556,17,755
07-10-2010,1044.95,1055.75,1032.5,1039.15,1039.15,7211287,-0.033018868,-14,424
08-10-2010,1046.7,1054.8,1030.55,1049.65,1049.65,4769466,-0.040677966,-12,295
11-10-2010,1056,1072.25,1053.1,1069.2,1069.2,5896732,-0.074074074,-18,243
12-10-2010,1068,1069.4,1046.15,1055.6,1055.6,3195565,-0.040133779,-12,299
13-10-2010,1056.1,1074,1054.7,1073.05,1073.05,5478523,-0.06097561,-15,246
14-10-2010,1075,1081.5,1054.2,1059,1059,5580792,0.03562341,14,393
15-10-2010,1060,1068,1035.6,1040.35,1040.35,2652016,-0.068493151,-20,292
18-10-2010,1042.25,1064.95,1033.25,1047.45,1047.45,5076676,-0.10041841,-24,239
19-10-2010,1065,1068.7,1039.25,1044.4,1044.4,4246988,-0.082125604,-17,207
20-10-2010,1039.4,1064.4,1038,1049.45,1049.45,4167720,-0.045045045,-10,222
21-10-2010,1052,1087.85,1049.2,1081.65,1081.65,8520014,-0.032154341,-10,311
22-10-2010,1085.45,1093.8,1074.35,1081.8,1081.8,4486466,-0.004926108,-3,609
25-10-2010,1088,1101.9,1086,1090.35,1090.35,4118875,-0.035343035,-34,962
26-10-2010,1090.9,1100.95,1087.1,1098.85,1098.85,3530281,-0.057692308,-24,416
27-10-2010,1098,1110,1083.25,1092.75,1092.75,5016615,-0.027088036,-12,443
28-10-2010,1099.4,1100.9,1074.6,1082,1082,8271973,-0.137624861,-124,901
29-10-2010,1087.7,1107.2,1080.5,1096.25,1096.25,6794099,-0.076855895,-88,1145
01-11-2010,1121,1124.9,1089.25,1093.2,1093.2,6973910,-0.105527638,-42,398
02-11-2010,1095.4,1095.4,1070.3,1074.85,1074.85,4654108,-0.002631579,-1,380
03-11-2010,1082,1084.9,1062.65,1065.3,1065.3,4557947,-0.027491409,-8,291
04-11-2010,1077.9,1107,1075,1105.05,1105.05,5557273,0,0,281
05-11-2010,1114,1117.5,1100.3,1105.7,1105.7,1458927,-0.048951049,-14,286
08-11-2010,1113.9,1119,1100.55,1111.85,1111.85,5112060,-0.124,-31,250
