date,Open,High,Low,Close,Adj Close,Volume,P_mean,P_sum,twt_count
04-01-2010,754.8,758.9,749.05,751.65,751.65,981841,-0.040955631,-12,293
05-01-2010,755,759.55,746.55,751.85,751.85,1007244,-0.101167315,-26,257
06-01-2010,751.85,752.2,733,734.85,734.85,1674588,-0.015564202,-8,514
07-01-2010,735.5,739.4,711,714.4,714.4,3237446,-0.161198288,-339,2103
08-01-2010,716,718.5,696.5,699.8,699.8,3024089,-0.141074335,-260,1843
11-01-2010,704,720.1,700.4,714.2,714.2,2159204,-0.081889764,-52,635
12-01-2010,732,754,727,750.05,750.05,4513845,-0.071246819,-28,393
13-01-2010,745,796.4,744.65,788.55,788.55,5455136,-0.009661836,-4,414
14-01-2010,798.45,798.45,769.35,779.85,779.85,5163807,-0.048543689,-15,309
15-01-2010,796,799.6,772.25,791.4,791.4,3972504,-0.051829268,-17,328
18-01-2010,800,829,793,802.2,802.2,3630542,-0.026086957,-9,345
19-01-2010,802.2,802.2,778.65,780.7,780.7,2577425,-0.092696629,-33,356
20-01-2010,792.2,792.2,770.9,779.4,779.4,2173527,-0.024096386,-8,332
21-01-2010,772.25,791.95,767.9,770.65,770.65,2544752,-0.091216216,-27,296
22-01-2010,761,765,744.7,757.85,757.85,3787495,-0.113846154,-37,325
25-01-2010,757.5,765.5,741.15,756.2,756.2,1504143,-0.108761329,-36,331
27-01-2010,750,759.7,740.15,743.3,743.3,2422199,-0.052434457,-14,267
28-01-2010,749.5,757.95,727.7,741.75,741.75,3268598,-0.090047393,-19,211
29-01-2010,734,739.8,712.15,736.2,736.2,2736663,-0.061371841,-17,277
01-02-2010,734.35,762.8,720,746.15,746.15,1689006,-0.08,-16,200
02-02-2010,755,762.65,735,738.4,738.4,2369594,-0.097014925,-26,268
03-02-2010,744,756.9,735.5,752.95,752.95,1488838,-0.096069869,-22,229
04-02-2010,752.95,753.9,732.5,738.7,738.7,1358306,-0.04778157,-14,293
05-02-2010,735,735,716.6,723.5,723.5,2303559,0.00913242,2,219
06-02-2010,728,732.5,721.15,729.7,729.7,79487,-0.10483871,-26,248
08-02-2010,729,734.75,708.15,724.15,724.15,2085172,-0.028469751,-8,281
09-02-2010,725,741.95,721.05,735.15,735.15,1502947,-0.043887147,-14,319
10-02-2010,739.9,743.7,728.1,732.3,732.3,1168687,-0.085972851,-19,221
